,Prey \ predator,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1,Seabirds,,,,,,,,,,,,,,,,,0.0055,,,,,,,,,,,,,,,,,,,,
2,Baleen whales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Deep-diving whales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Killer whales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Shallow-diving small cetaceans,,,,0.3000,0.0001,,,,,,,,,,,,0.0094,,,,,,,,,,,,,,,,,,,,
6,Swordfish,,,,,,,,,,,,,,,,,0.0167,,,,,,,,,,,,,,,,,,,,
7,Other Billfishes,,,,,,,,,0.0017,,,0.0039,,,,0.0120,0.0150,,,,,,,,,,,,,,,,,,,,
8,Yellowfin tuna,,,,,,0.0016,0.0070,,0.0080,,0.0120,,,,,,0.0008,,,,,,,,,,,,,,,,,,,,
9,Skipjack,,,,,,0.0016,0.1135,0.0929,0.0092,,0.0120,,,,,0.0007,0.0004,,,,,,,,,,,,,,,,,,,,
10,Albacore,,,,,,0.0016,0.0070,0.0111,0.0080,,0.0120,,,,,,0.0004,,,,,,,,,,,,,,,,,,,,
11,Bigeye,,,,,,0.0016,0.0185,0.0111,0.0091,,,,,,,,0.0004,,,,,,,,,,,,,,,,,,,,
12,Blackfin tuna,,,,,,0.0016,0.0070,0.0111,0.0080,,0.0120,,,0.0006,,0.0102,0.0004,,,,,,,,,,,,,,,,,,,,
13,Other offshore predators,,0.0750,,,,0.0017,0.2317,0.1681,0.1007,,0.0120,,,0.0010,0.2872,0.0115,0.0011,,0.0001,,,,0.0001,,,0.0080,,,,,,,,,,,
14,Mackerels,,0.0750,,,,0.0269,0.0070,0.0111,0.0080,,0.0120,,,0.0019,0.0004,0.0103,0.0178,,0.0002,,,,,,,0.0080,,,,,,,,,,,
15,Wahoo,,,,,,0.0016,0.0070,0.0111,0.0080,,0.0120,,,0.0006,0.0004,0.0102,0.0004,,,,,,,,,,,,,,,,,,,,
16,Dolphinfish,,,,,,0.0015,0.0325,0.0065,0.0008,,0.0269,,,,,0.2115,0.0003,,,,,,,,,,,,,,,,,,,,
17,Pelagic sharks,,,,,,,,,,,,,,,,,0.0438,,,,,,,,,,,,,,,,,,,,
18,Flyingfish,0.0826,,,,,0.0032,0.0470,0.0144,0.0281,,0.2500,0.0415,,0.0053,0.0330,0.1999,0.0001,,0.0066,,,,0.1791,,,,0.0835,,,,,,,,,,
19,Coastal predators,0.0133,,,,,0.1097,0.0604,0.0857,0.0465,0.0012,0.0028,0.1586,0.0001,0.0360,0.0195,0.2258,0.2147,,0.0679,,,,0.0124,,,0.0080,0.0835,,,,,,,,,,
20,Small offshore pelagics,0.1799,0.1452,0.0019,0.0968,0.2248,,0.1322,0.0471,0.1918,0.0075,0.0248,0.4971,0.0535,0.8726,0.1540,0.0698,0.0476,,,,,,0.0056,,,,,,,,,,,,,,
21,Small coastal pelagics,0.0059,0.0048,0.0001,0.0032,0.0074,0.1225,0.0044,0.0016,0.0063,0.0002,0.0008,0.0164,,0.0288,0.0051,0.0023,0.0016,,0.3885,,,,0.0002,,,,,,,,,,,,,,
22,Small Mesopelagic (forage) fish,,0.1500,0.0080,0.1500,0.1037,0.0355,0.0002,0.0138,0.0896,0.0880,0.1081,,,,0.0012,0.0014,0.0045,,0.0010,,,0.0096,0.0056,,,0.2860,0.1670,,,,,,,,,,
23,Large Mesopelagic (forage) fish,,,0.0120,0.1500,0.1037,0.1237,0.1370,0.1330,0.1702,0.4788,0.3946,0.0223,,0.0000,0.1732,0.0028,0.0662,,,,,,0.3513,,,0.0240,,,,,,,,,,,
24,Leatherback turtles,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,,,,,
25,Other turtles,,,,,,,,,,,,,,,,,0.0006,,,,,,,,,,,,,,,,,,,,
26,Small squid,0.5431,,0.0080,0.1750,0.3067,0.3930,0.1259,0.1678,0.0905,0.0901,0.0226,0.0682,0.7509,0.0153,0.1458,0.0774,0.1638,,0.0109,,,0.0044,0.0981,,,0.1140,0.1670,,,,,,,,,,
27,Large squid,,,0.0500,0.1250,0.2511,0.0231,0.0005,0.0028,,0.0103,,,,,0.0028,,0.0000,,,,,,0.0050,,,,0.1670,,,,,,,,,,
28,Small Zooplankton,0.0057,,,,,,,0.0021,0.0008,,,0.0912,0.1116,0.0143,0.0027,0.0291,0.0000,1.0000,0.0430,0.5587,0.5587,0.9876,0.1075,0.0200,0.0500,0.1410,,0.1000,1.0000,,,,,,,,
29,Large Zooplankton,0.0061,0.3000,,,,0.0175,0.0009,0.0678,0.0197,0.0306,0.0358,,,0.0042,,0.0288,0.0006,,0.0020,0.0011,0.0011,,0.0700,0.9800,0.0500,0.3880,0.1670,,,,,,,,,,
30,Phytoplankton,,,,,,,,,,,,,,,,,,,,0.0239,0.0239,,,,,,,0.8000,,,,,,,,,
31,Detritus,,,,,,,,,,,,,,,,,0.0044,,0.0013,0.0016,0.0016,,,,,,,0.1000,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,0.1633,0.2500,0.9200,,0.0027,0.1262,0.0613,0.1411,0.1949,0.2934,0.0498,0.1008,0.0839,0.0187,0.1747,0.0936,0.3791,,0.4785,0.4147,0.4147,0.0012,0.1650,,0.9000,0.0240,0.1670,,,,,,,,,,
,Sum,1.0000,1.0000,1.0000,1.0000,1.0002,0.9938,1.0009,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9993,1.0000,0.9973,0.9956,1.0000,1.0000,1.0000,1.0000,1.0028,1.0000,1.0000,1.0000,1.0010,1.0020,1.0000,1.0000,,,,,,,,
,(1 - Sum),0.0000,0.0000,0.0000,0.0000,-0.0002,0.0062,-0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0027,0.0044,0.0000,0.0000,0.0000,0.0000,-0.0028,0.0000,0.0000,0.0000,-0.0010,-0.0020,0.0000,0.0000,,,,,,,,
