,Group name,Total
1,Phytoplankton,0.0000
2,Benthic producer,0.0056
3,Zooplankton,0.0100
4,Jellyfish,0.0012
5,Polychaetes,0.0000
6,Echinoderms,0.0039
7,Benthic crustaceans,0.0019
8,Non-ceph molluscs,0.0056
9,Sessile/other invertebrates,0.0011
10,Shrimps,0.0350
11,Crabs,0.0100
12,Cephalopods,0.0244
13,Threadfin bream (nemipterids),0.0440
14,Bigeyes (priacanthids),0.0350
15,Lizard fish (synodontids),0.0840
16,Juvenile Hairtail (trichiurids),0.0038
17,Adult hairtail (trichiurids),0.0152
18,Pomfret (stromateids),0.0053
19,Snappers,0.0053
20,Adult groupers,0.0029
21,Croakers (30 cm),0.0160
22,Juvenile large croakers,0.0110
23,Croakers (> 30 cm),0.0440
24,Demesral fish (≤ 30 cm),0.0902
25,Juvenile demersal fish (> 30 cm),0.0288
26,Adult demersal fish (>30 cm),0.1150
27,Benthopelagic fish,0.0303
28,Melon seed,0.0057
29,Pelagic fish (≤ 30 cm),0.1460
30,Juvenile large pelagic fish,0.0096
31,Pelagic fish (> 30 cm),0.0380
32,Demersal sharks and rays,0.0158
33,Pelagic sharks and rays,0.0051
34,Seabirds,0.0000
35,Pinnipeds,0.0002
36,Other mammals,0.0001
37,Marine turtles,0.0001
38,Detritus,0.0000