,Prey \ predator,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
1,Phytoplankton,0.7,0,,0.003,0.07,0.07,,0.027,,,0.015,,,,,0.01,,,,,,0.013,0.013,,0.1459,0.019,0.22,0.063,0.011,,,,,,0.0005,0
2,Benthic producer,0,0,,0.554,0.151,0.151,,0.125,0.2,,,,,,,,,,,,,0.03,0.03,,0.1459,,,0.076,,,,0.1198,,,0.4,0
3,Zooplankton,0,0.9,,0.003,0.05,0.05,0.6,0.193,,0.466,0.12,0.322,,0.107,0.04,0.375,0.05,,0.314,0.314,0.223,0.302,0.4244,0.084,0.4705,0.886,0.752,0.589,0.458,0.086,,0.003,,0.004,0.238,0
4,Jellyfish,0,0.08,,,,,,,,,,,,,,0.478,,,,,0.009,0.009,0.009,0.001,,,,,,,,,,,,0
5,Polychaetes,0,0,,0.022,0.054,0.1,,0.121,0.24,,0.173,0.086,,0.008,,0.02,0.01,,0.055,0.12,,0.089,0.0901,0.047,0.029,0.038,0.021,0.016,0.011,,,0.2086,,,,0
6,Echinoderms,0,0,,0.059,,,,,0.01,0.062,0.03,,,0.015,,0.002,,,0.042,0.1,,0.002,0.002,0.015,,,,,,,,0.003,,0.035,0.011,0
7,Benthic crustaceans,0,0,,0.003,,,,,0.02,0.125,0.156,0.084,,0.031,0.01,0.002,0.1,0.172,0.202,0.246,0.34,0.22,0.2653,0.438,0.049,,,0.006,0.058,0.36,,0.019,,,0.011,0
8,Non-ceph molluscs,0,0,,0.056,0.08,0.01,,,0.14,0.068,0.384,0.015,,,,0.023,0.05,0.046,0.007,0.007,0.009,0.121,0.0511,0.137,0.019,,0.006,0.055,0.009,0.115,0.0006,0.1357,,0.035,0.011,0
9,Sessile/other invertebrates,0,0,,0.1,0.001,0.01,,,0.01,,,0.003,,,,0.024,,,0.002,0.011,,0.01,0.041,,,0.019,0.001,0.023,0.006,,,,,,,0
10,Shrimps,0,0,,,,,,,0.05,0.005,0.005,0.007,0.19,0.092,0.05,,0.05,0.084,0.13,0.1,,0.027,0.002,0.002,,,,0.0006,,0.07,,0.0479,0.038,,0.009,0
11,Crabs,0,0,,,,,,,,0.05,0.001,0.136,,0.005,0.01,0.024,0.05,0.091,0.001,0.001,0.001,0.025,0.001,0.001,0.01,,,,,0.052,0.001,0.001,,0.0001,0.011,0
12,Cephalopods,0,0,,,,,,,,0.043,,0.005,0.092,0.153,0.1,0.008,,0.084,,,,0.004,0.009,0.01,0.006,0.019,,0.003,0.018,,0.242,0.1148,0.27,0.08,0.018,0
13,Threadfin bream (nemipterids),0,0,,,,,,,,0.0001,,0.014,0.05,0.046,0.034,,0.01,,,,0.009,,,0.01,,,,,,0.005,,,,0.02,0.005,0
14,Bigeyes (priacanthids),0,0,,,,,,,,,0.001,0.008,0.038,,,,,,,,0.002,,,0.01,,,,,,0.005,,,,0.019,0.005,0
15,Lizard fish (synodontids),0,0,,,,,,,,0.0001,,,0.019,0.034,0.035,,,,,,0.002,,,0.01,,,,,,0.041,,,,0.005,0.0009,0
16,Juvenile Hairtail (trichiurids),0,0,,,,,,,,0.0001,,,,0.01,0.01,,,,,,,,,0.01,,,,,0.0005,,0.001,,,0.01,0.05,0
17,Adult hairtail (trichiurids),0,0,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.002,,0.001,,,0.006,,0
18,Pomfret (stromateids),0,0,,,,,,,,0.01,,,,,,,,,,,0.028,,,,,0.003,,,,,0.066,,,0.063,0.016,0
19,Snappers,0,0,,,,,,,,0.00001,,,,,,,,0.0001,,,,0.0001,,,,,,,,0.0001,,,,0.002,0.0006,0
20,Adult groupers,0,0,,,,,,,,0.00001,,,0.002,,,,,0.0009,,,,,,0.005,,,,,,0.005,,,,0.004,0.0006,0
21,Croakers (30 cm),0,0,,,,,,,,,,0.06,,0.096,0.07,,,,,0.05,0.007,,,0.01,,,,,0.005,0.017,0.013,0.1148,0.25,0.014,0.004,0
22,Juvenile large croakers,0,0,,,,,,,,,,0.001,0.004,0.008,,,,,0.001,,,0.0001,0.001,0.0004,,,,,0.0002,0.003,,,0.003,0.0002,0.0001,0
23,Croakers (> 30 cm),0,0,,,,,,,,,,,,,,,,,,,,,,0.0004,,,,,,0.002,,,0.003,0.004,,0
24,Demesral fish (< 30 cm),0,0,,,,,,,,0.00005,0.099,0.239,0.198,0.236,0.142,,0.68,0.457,0.094,0.05,0.125,0.025,0.005,0.194,,0.003,,,,0.186,,,0.308,0.03,0.007,0
25,Juvenile demersal fish (> 30 cm),0,0,,,,,,,,,,0.02,,,,,,0.055,,,0.0003,0.003,0.005,,,,,,,0.007,,,0.113,0.006,0.082,0
26,Adult demersal fish (>30 cm),0,0,,,,,,,,,,,,,,,,0.009,,,0.001,,,,,,,,,0.001,,,0.013,0.001,0.009,0
27,Benthopelagic fish,0,0,,,,,,,,0.013,0.015,,,0.15,0.099,0.013,,,0.1,,0.114,0.011,,0.007,0.009,0.01,,0.06,0.04,0.027,0.179,0.1068,,0.169,0.043,0
28,Melon seed,0,0,,,,,,,,0.001,0.001,,,0.009,0.001,0.001,,,0.001,,0.013,0.007,,0.001,0.001,,,0.006,0.004,0.007,0.026,0.008,,0.033,,0
29,Pelagic fish (< 30 cm),0,0.019,,,,,,,,0.156,,,0.407,,0.389,0.02,,,0.05,,0.117,,0.009,0.007,0.0859,0.003,,0.03,0.375,,0.432,,,0.404,0.066,0
30,Juvenile large pelagic fish,0,0.001,,,,,,,,0.0001,,,,,,,,,,,,,,,,,,,,,0.025,0.1148,0.001,0.045,0.0009,0
31,Pelagic fish (> 30 cm),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,0.001,0.011,,0
32,Demersal sharks and rays,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,,,,0
33,Pelagic sharks and rays,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.009,,,,,0
34,Seabirds,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,,,,0
35,Pinnipeds,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,,,,0
36,Other mammals,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,,,,0
37,Marine turtles,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,,,,0
38,Detritus,0.3,0,1,0.2,0.594,0.609,0.4,0.534,0.33,,,,,,,,,,,,,0.101,0.042,,0.029,,,0.073,0.002,,,0.003,,,,0
,Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sum,1,1,1,1,1,1,1,1,1,0.99947,1,1,1,1,1,1,1,0.999,0.999,0.999,1.0003,0.9992,0.9999,0.9998,1.0002,1,1,1.0006,0.9997,0.9991,1.0011,1.0002,1,1.0003,0.9996,0
,1-Sum,0,0,0,0,0,0,0,0,0,0.00053,0,0,0,0,0,0,0,0.001,0.001,0.001,-0.0003,0.0008,1.00E-04,0.0002,-0.0002,0,0,-0.0006,0.0003,0.0009,-0.0011,-0.0002,0,-0.0003,0.0004,1
